3.755000,2.920000 
3.755000,2.920000 
3.721145,2.883205 
3.573812,2.748011 
3.435036,2.604417 
3.337115,2.430838 
3.288072,2.237125 
3.261641,2.039263 
3.293581,1.842991 
3.395790,1.671815 
3.529900,1.523552 
3.666643,1.377686 
3.794645,1.224170 
3.949477,1.098503 
4.135245,1.027249 
4.333931,1.031384 
4.516147,1.111452 
4.435834,1.816870 
4.237529,1.826722 
4.051648,1.756878 
3.903507,1.623059 
3.772263,1.472268 
3.658033,1.308185 
3.566176,1.131070 
3.527067,0.935454 
3.528348,0.735564 
3.537802,0.535807 
3.539179,0.335831 
3.545485,0.136019 
3.524991,-0.062815 
3.474958,-0.255827 
3.371478,-0.426595 
3.247596,-0.583579 
3.118652,-0.736398 
2.983781,-0.883876 
2.868522,-1.047249 
2.729638,-1.190102 
2.549976,-1.275940 
2.352606,-1.305727 
2.152676,-1.308813 
1.953119,-1.320713 
1.754053,-1.303547 
1.557984,-1.264220 
1.359443,-1.241916 
1.160781,-1.260264 
0.977477,-1.336948 
0.842994,-1.483365 
0.764512,-1.666751 
0.721965,-1.862091 
0.684925,-2.058607 
0.642035,-2.253868 
0.623316,-2.452932 
0.615318,-2.652759 
0.625791,-2.851988 
0.698272,-3.037281 
0.835152,-3.181185 
1.015999,-3.265717 
1.207381,-3.322623 
1.406208,-3.325270 
1.590340,-3.249680 
1.747273,-3.126050 
1.892055,-2.988095 
2.032965,-2.846175 
2.160504,-2.692750 
2.235898,-2.508336 
2.262661,-2.310256 
2.278684,-2.110988 
2.272170,-1.911135 
2.248130,-1.712946 
2.168063,-1.530997 
2.024974,-1.392129 
1.856771,-1.284243 
1.673751,-1.204783 
1.476336,-1.174862 
1.276378,-1.172263 
1.076668,-1.177311 
0.884572,-1.229978 
0.726268,-1.349435 
0.643978,-1.529599 
0.645546,-1.728955 
0.690825,-1.923233 
0.781580,-2.101251 
0.886650,-2.271417 
0.997630,-2.437701 
1.129378,-2.587949 
1.287749,-2.708620 
1.480071,-2.757861 
1.673726,-2.716692 
1.819756,-2.583360 
1.873879,-2.393644 
1.822527,-2.201434 
1.721924,-2.029108 
1.583354,-1.885484 
1.413282,-1.781808 
1.218799,-1.737273 
1.019146,-1.733762 
0.821953,-1.766394 
0.626439,-1.807959 
0.427322,-1.808535 
0.239513,-1.741383 
0.063611,-1.646332 
-0.121974,-1.572264 
-0.314458,-1.518138 
-0.498010,-1.439622 
-0.661681,-1.324898 
-0.814572,-1.196134 
-0.946677,-1.046339 
-1.044139,-0.872230 
-1.106135,-0.682143 
-1.182041,-0.497312 
-1.291459,-0.330372 
-1.442165,-0.200846 
-1.634104,-0.151275 
-1.829589,-0.188775 
-2.007693,-0.279004 
-2.167544,-0.398902 
-2.305613,-0.543096 
-2.406216,-0.715461 
-2.477026,-0.902450 
-2.569105,-1.079520 
-2.704034,-1.226445 
-2.868015,-1.340678 
-3.041739,-1.439704 
-3.223368,-1.522890 
-3.416858,-1.573091 
-3.612020,-1.616476 
-3.801945,-1.679092 
-3.993496,-1.736495 
-4.189101,-1.777746 
-4.388315,-1.791943 
-4.585838,-1.763362 
-4.769586,-1.686217 
-4.928829,-1.565377 
-5.097220,-1.458455 
-5.290510,-1.411308 
-5.486296,-1.442803 
-5.650503,-1.555634 
-5.786246,-1.702238 
-5.900223,-1.866405 
-5.996967,-2.041429 
-6.097223,-2.214473 
-6.197026,-2.387598 
-6.320175,-2.545135 
-6.435231,-2.708710 
-6.549922,-2.872508 
-6.684814,-3.019542 
-6.852896,-3.127355 
-7.037057,-3.204611 
-7.233414,-3.239583 
-7.430497,-3.213182 
-7.602599,-3.113102 
-7.740816,-2.968925 
-7.850660,-2.802560 
